Company,Product categories,Company description,Page_URL
Pardini USA LLC,SHOT -  Airgun/Airsoft ProductsSHOT -  Scopes/Sights/Telescopes/AccessoriesSHOT -  Shooting Range EquipmentSHOT -  AmmunitionSHOT -  FirearmsSHOT -  Law Enforcement Products/Services,"Pardini USA LLC is the exclusive U.S. importer and distributor for Pardini Armi Pistols and Rifles, Megalink Electronic Targets, Nitehog night and thermal vision sights, Optix DoD and Law Enforcement night and thermal vision equipment, optical sights and elements, range finders and integrated system for perimeter and border protection and surveillance, Rink Grips, Bleiker Rifles. Distributor of Ultradot, Eley, Knobloch, Vanguard Outfitters Ammunition and other Olympic Quality Products. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1066
Parker Rust-Proof of Cleveland,Supplier -  Finishing,"Custom zinc & manganese phosphate coating services for small & large parts (up to 25’). Black oxide coatings for mild steels, and lubricant coatings including dry films and reactive soap metal forming aids. The most experienced conversion coaters in the nation, we offer rack and barrel processing as well as bar & tube cutting service up to 16” diameter for ferrous and nonferrous metals. Other services include painting, chamfer, glass bead & aluminum oxide blasting, and vibratory deburring. AS9100 & NADCAP registrations. Serving Military, Aerospace, Diesel, Nuclear Industries for 110 years. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2047
Parker Trutec Group,SHOT -  Communications/Electronics/GPSSupplier -  Plastics,"Parker Trutec Group is a premier supplier of metal protections and surface modifications with various facilities throughout the United States and world wide. Weaponry protection processes includes: LiFe Salt Bath Nitriding, Isonite QPQ Ferritic Nitrocarburizing, Carburizing, Black Oxide, Parkerizing, Manganese, Zinc, Iron phosphate conversion coatings. Value added services include: Polishing, Shot-blasting and Deburring. We offer a full laboratory of metallurgical/ coating testings including Vickers, Micro Vickers, Rockwell Hardness, Salt Spray along with SEM/EDX analysis. Let PT Protect (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1068
Parris Manufacturing Company,SHOT -  Wholesaler/Distributor,"Parris Manufacturing Company dba Parris Toys is a toy distributor. Shop Replicas by Parris to find one of the largest online selections of toy guns available today. We are pleased to manufacture beautiful replicas of Indian Rifles, Pirate Rifles, Civil War Muskets, Frontier Pistols, Flintlock Frontier Rifles, Western Rifles, Military Rifles, and many others as well. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1069
Patriot Mobile,,"Patriot Mobile is America’s ONLY Christian conservative wireless provider. Since 2013, Patriot Mobile has given Americans a conservative alternative for their cell service by providing dependable nationwide coverage on 4G or 5G networks and exceptional U.S.-based customer support. Patriot Mobile gives a portion of every dollar earned to support organizations that align with our Four Pillars of Giving: First Amendment Second Amendment Sanctity of Life Military, Veterans, and First Responder Heroes (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3694
Patriot Sports,SHOT -  Ammunition,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3414
Patriot Tactical,SHOT -  Bags/Packs & Equipment,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3604
Patriot3 Inc.,SHOT -  Law Enforcement Products/ServicesSHOT -  Training and Safety Equipment,"Patriot3 is a premier provider of lightweight, mobile ballistic products and shields. Our product line includes a wide range of patented personal protection shields, ballistic fragmentation systems and mobile ballistic systems. Patriot3 is also the worldwide leader in Elevated Tactics Systems (ETS). Our vehicle mounted systems permit elevated access to buildings, aircraft, trains, and buses --- assisting special units and rescue teams to take control of difficult situations. Patriot3 offers a variety of innovative specialty equipment for waterborne operations such as JetBoots & Hammerhead (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1072
Paws Workholding,Supplier -  MachinerySupplier -  PlasticsSupplier -  Stamping,"PAWS Workholding specializes in designing and building custom workholding fixtures for OEM’s and high volume Contract Manufacturers. Through the use of multiple-part workholding and automation, our team delivers engineered solutions that increase the amount of good parts you are able to produce at the end of the shift. Come talk to one of our engineers about your milling application. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2013
Payroc,Supplier -  Services,"Payroc has been proud to serve the firearms industry since our company began in 2003. Payroc is a people-first global payment processing company. We partner with the best in the industry, to ensure our customers get smart and seamless custom business solutions. We're a privately held full service payment processor, servicing over 30,000 clients and processing over 10B in annual card volume. Payroc is poised to continue to service the 2A industry as your trusted advisor providing service with integrity, and pricing clarity, combined with exceptional customer service. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2048
PBC Linear,SHOT -  Gunsmith ToolsSupplier -  MachiningSupplier -  MachinerySupplier -  Services,"PBC Linear provides emerging industries and demanding applications with innovative solutions in linear motion products and services. This is achieved through a range of precision-engineered components and mechatronics delivered from a centralized United States manufacturing facility. More recently, our new Applied Cobotics brand has introduced the Cobot Feeder which offers customers a collaborative automation tool for lights-out manufacturing (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3160
PBC Linear (Applied Cobotics),Supplier -  MachinerySupplier -  MachiningSupplier -  FabricationSupplier -  Services,"40 Years of Linear Motion This year, PBC Linear marks 40 years of engineering linear motion solutions. This has been achieved through a range of precision engineered components and mechatronics delivered from a centralized United States manufacturing facility. As we celebrate this milestone, PBC Linear is in the process of rolling out new products and making substantial investments for continued growth. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3308
PCP Ammunition,SHOT -  AmmunitionSHOT -  Firearm Grips/Stocks,"The PCP Tactical team brings together decades of weapons engineering and military experience. Through exhaustive research and development, PCP has developed a unique case design that utilizes the most advanced polymer cased technology on the planet. Our ammunition boasts a 30% weight savings compared to conventional brass ammo. Look for our innovative solutions in multiple calibers including .260 Rem, 7.62 x 51, 6.5 Creedmoor, 6.8 PCP, 338 Norma Mag, and .50 BMG. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1073
PDS Equipment,Supplier -  LogisticsSupplier -  FabricationSupplier -  OE materialsSupplier -  PackagingSupplier -  SoftwareSupplier -  Stamping,"PDS Equipment provides industrial Decorating equipment to help customize and personalize all types of products related to the Outdoors, hunting, Shooting and camping industry. We offer solutions for companies that customize and decorate firearms, Holters, gun slings, gun cases, custom shooting targets, ammunition and limitless other products. We just exhibited at the ICAST fishing Show and had a booth full from start to finish. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1074
PDS Equipment LLC,Supplier -  LogisticsSupplier -  FabricationSupplier -  OE materialsSupplier -  PackagingSupplier -  SoftwareSupplier -  Stamping,"PDS Equipment provides industrial Decorating equipment to help customize and personalize all types of products related to the Outdoors, hunting, Shooting and camping industry. We offer solutions for companies that customize and decorate firearms, Holters, gun slings, gun cases, custom shooting targets, ammunition and limitless other products. We just exhibited at the ICAST fishing Show and had a booth full from start to finish. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2052
Peacekeeper International,SHOT -  Law Enforcement Products/ServicesSHOT -  LeathergoodsSHOT -  Survival Kits/First AidSHOT -  Holsters,"Peacekeeper International continues to revolutionize the baton industry. As agencies continue to re-assess the importance of the impact weapon, agencies are identifying the benefits of the Peacekeeper Rapid Containment Baton as the MOST Effective, Dependable, Durable, and Cost Effective Less Lethal option available. Due to its effectiveness, many administrators have ELIMINATED all other batons from policy and solely authorize the Peacekeeper RCB. The RCB is dubbed the “One-and-Done Baton.” Now that nearly everyone has a video camera on their side, you can’t afford to have a CNN moment! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1075
Peak Beam Systems Inc.,SHOT -  Lighting ProductsSHOT -  Law Enforcement Products/Services,"Peak Beam Systems designs and manufactures long-range Xenon searchlights for military, defense and security. Peak Beam's Maxa Beam Searchlights feature 12,000,000 CandlePower output and are available in portable or remote-controlled models. Maxa Beams have been fielded around the world since 1987 and users include all branches of the U.S. Military, NATO Forces, U.S. Customs & Border Protection, U.S. Dept. of Energy, U.S. Dept. of State, & numerous federal & local Law Enforcement agencies. Peak Beam is a Woman-Owned Small Business and proudly manufactures the Maxa Beam Searchlight in the USA. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1076
